dataset,missing_rate,method,rmse,mae,n_points,imputed_csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,SVD-KNN,38365933.07716922,37419760.00458586,2,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_SVD-KNN_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,SVD-KNN-Hankel,41616394.7384723,40453893.80873543,2,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_SVD-KNN-Hankel_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,Kalman,55312888.24202922,44761708.72370535,2,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_Kalman_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,ARIMA,43563558.65338001,38599900.84132224,2,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_ARIMA_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,HoltWinters,74902513.78700568,73999224.47139448,2,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_HoltWinters_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,Linear,60856669.98309069,55298301.5,2,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_Linear_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,KNN-Sklearn,45486587.967596315,45330491.040258765,2,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_KNN-Sklearn_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,Spline,85792284.79040594,69448301.22544938,2,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_Spline_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,Mean,45486587.967596315,45330491.040258765,2,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_Mean_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,LOCF,29893945.06111959,26600022.125,2,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_LOCF_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.05,SVD-KNN,128459790.36849749,128459790.36849749,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr5_SVD-KNN_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.05,SVD-KNN-Hankel,106446276.67165995,106446276.67165995,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr5_SVD-KNN-Hankel_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.05,Kalman,101503701.6882863,101503701.6882863,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr5_Kalman_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.05,ARIMA,15539492.475773573,15539492.475773573,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr5_ARIMA_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.05,HoltWinters,16569716.818339586,16569716.818339586,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr5_HoltWinters_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.05,Linear,50302531.333333254,50302531.333333254,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr5_Linear_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.05,KNN-Sklearn,120681234.3643707,120681234.3643707,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr5_KNN-Sklearn_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.05,Spline,65298603.973076105,65298603.973076105,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr5_Spline_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.05,Mean,120681234.3643707,120681234.3643707,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr5_Mean_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.05,LOCF,11257087.0,11257087.0,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr5_LOCF_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,SVD-KNN,58868522.431369066,58868522.431369066,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_SVD-KNN_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,SVD-KNN-Hankel,41918347.57599735,41918347.57599735,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_SVD-KNN-Hankel_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,Kalman,44115105.88375592,44115105.88375592,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_Kalman_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,ARIMA,18623715.992797136,18623715.992797136,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_ARIMA_imputed.csv
